,Name,Latitude,Longitude,Category
0,National Centre for the Performing Arts (NCPA),18.92563130239702,72.81986117362976,Performing Arts
1,18.99 Latitude,19.00619,72.82819492,Concert Hall
2,Chitrakoot Grounds,19.132613236499147,72.83189337220684,Concert Hall
3,"aditya birla hall, babulnath",19.089628219604492,72.85173797607422,Concert Hall
4,Bharatratna Dr. M. S. Subbulakshmi Auditorium,19.033820189190827,72.85530093498174,Concert Hall
5,Tabla Class,19.009535855475317,72.84406189337916,Concert Hall
6,Oberoi splendor-multipurpose hall,19.14020143294941,72.86547793415788,Concert Hall
7,Somaiya Audi,19.04757,72.871366,Concert Hall
8,Maheshwari Bhavan,19.080101013183594,72.98197937011719,Concert Hall
9,Amphitheatre,19.213542834761483,72.9852944612503,Concert Hall
10,Shubham Kanoti Mandal,19.191666977128587,72.97345218510186,Concert Hall
11,Majestic Hall,18.924674365750526,72.83217227625087,Concert Hall
12,thakur welfare hall,19.212681182433343,72.86723175022692,Concert Hall
13,The Console,19.052802186646566,72.8256905968986,Concert Hall
14,Kora Kendra Grounds,19.219862,72.850586,Concert Hall
15,Seva Niketan Hall,18.968237823916596,72.83335893515725,Concert Hall
16,Maa Kripa Banquet Hall,19.18731689453125,72.96157836914062,Concert Hall
17,"JRM Grounds, Vile Parle (W)",19.103831,72.837361,Concert Hall
18,Gujarat Bhavan,19.07974761331727,73.00251379282783,Concert Hall
19,Cama Hall,18.92736371432339,72.83373397937875,Concert Hall
20,Navin Bhai Thakkar Hall,19.095664885723025,72.84629589621613,Concert Hall
21,Heravati Hall,19.08250623674751,72.83627849493628,Concert Hall
22,Agri Koli Bhavan,19.031794955205484,73.00786256790161,Concert Hall
23,Yashwant Natya Mandir,19.02688175674481,72.843403326767,Concert Hall
24,Ravindra Natya Mandir,19.01494832411588,72.83019175547305,Theater
25,Prithvi hall,19.001861608682972,73.1171276655734,Concert Hall
26,Tarabai Hall,18.945884704589844,72.82170867919922,Concert Hall
27,Ram wadi,19.02591537897619,72.85290662423697,Concert Hall
28,Bramhan Seva Sangh Hall,19.196497693871297,72.95964090018865,Concert Hall
29,Chatwani Banquets,19.116401983705185,72.85045459477928,Concert Hall
30,Trident,19.06680832992521,72.86746828365813,Hotel
31,JW Marriott Mumbai Juhu,19.1020372,72.8261813,Hotel
